               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036216,           0.0098966,                   0,             0.99771,             0.99832,             0.99451,             0.71136,             0.01981,           0.0046369,                   0,            0.070007,           0.0033325,           0.0033325
                   1,            0.025466,           0.0061681,                   0,             0.99889,             0.99935,             0.99491,             0.73939,            0.018432,           0.0042267,                   0,            0.039787,           0.0064459,           0.0064459
                   2,            0.022757,           0.0057633,                   0,             0.99923,             0.99979,             0.99497,             0.74798,            0.017983,           0.0041377,                   0,           0.0093473,           0.0093393,           0.0093393
                   3,            0.021718,           0.0056252,                   0,             0.99936,             0.99987,             0.99499,             0.75453,             0.01774,           0.0040748,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.021099,           0.0054998,                   0,             0.99929,             0.99987,             0.99498,             0.75655,            0.017604,           0.0040408,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.020838,           0.0054723,                   0,             0.99928,             0.99987,             0.99497,             0.75945,            0.017515,           0.0040233,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.020637,           0.0054179,                   0,             0.99938,             0.99991,             0.99499,             0.76074,             0.01746,           0.0040082,                   0,             0.00835,             0.00835,             0.00835
                   7,             0.02049,           0.0053941,                   0,             0.99939,             0.99991,             0.99498,             0.76137,            0.017414,           0.0039987,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.020381,           0.0053967,                   0,             0.99942,              0.9999,             0.99499,             0.76197,             0.01738,           0.0039926,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.020275,           0.0053502,                   0,             0.99942,             0.99991,             0.99499,             0.76235,            0.017358,           0.0039877,                   0,             0.00736,             0.00736,             0.00736
                  10,             0.02021,           0.0053614,                   0,             0.99941,             0.99991,             0.99499,             0.76294,            0.017339,           0.0039843,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.020121,           0.0053378,                   0,              0.9994,             0.99991,             0.99499,             0.76348,            0.017325,            0.003981,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.020068,           0.0053132,                   0,              0.9994,             0.99991,             0.99499,             0.76382,            0.017313,           0.0039781,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.019975,           0.0053122,                   0,             0.99944,             0.99991,             0.99499,             0.76407,            0.017303,           0.0039757,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019881,           0.0052919,                   0,             0.99945,             0.99991,             0.99499,             0.76433,            0.017293,           0.0039735,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.019824,           0.0052675,                   0,             0.99948,             0.99991,             0.99499,             0.76457,            0.017282,           0.0039711,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.019765,           0.0052742,                   0,             0.99949,             0.99991,             0.99499,             0.76488,            0.017275,            0.003969,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.019733,           0.0052713,                   0,              0.9995,             0.99991,             0.99499,             0.76494,            0.017267,           0.0039668,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.019622,           0.0052331,                   0,             0.99952,             0.99992,             0.99499,             0.76556,            0.017258,           0.0039643,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.019566,            0.005233,                   0,             0.99951,             0.99992,             0.99499,             0.76614,            0.017248,            0.003962,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.019553,           0.0052166,                   0,             0.99954,             0.99993,             0.99499,             0.76599,            0.017238,           0.0039597,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.019459,           0.0052394,                   0,             0.99953,             0.99992,             0.99499,             0.76665,            0.017226,           0.0039576,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.019424,             0.00521,                   0,             0.99953,             0.99993,             0.99499,             0.76716,            0.017216,           0.0039549,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.019336,           0.0051883,                   0,             0.99959,             0.99992,             0.99499,             0.76755,            0.017208,           0.0039529,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.019219,           0.0051978,                   0,             0.99963,             0.99993,             0.99499,             0.76797,            0.017198,           0.0039504,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.019154,           0.0051863,                   0,             0.99965,             0.99993,             0.99499,             0.76842,            0.017186,           0.0039478,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.019109,           0.0051631,                   0,             0.99965,             0.99993,             0.99499,             0.76876,            0.017174,           0.0039454,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.019057,           0.0051456,                   0,             0.99965,             0.99993,             0.99499,             0.76917,            0.017162,           0.0039428,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.018923,           0.0051227,                   0,             0.99964,             0.99993,             0.99499,             0.76956,            0.017151,           0.0039405,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.018801,           0.0051011,                   0,             0.99965,             0.99994,             0.99499,             0.77003,            0.017141,           0.0039379,                   0,             0.00076,             0.00076,             0.00076
